Mode,Port1_Vmag_V,Port1_Imag_A,Port1_Zmag_Ohm,Port2_Vmag_V,Port2_Imag_A,Port2_Zmag_Ohm,Port3_Vmag_V,Port3_Imag_A,Port3_Zmag_Ohm,Port4_Vmag_V,Port4_Imag_A,Port4_Zmag_Ohm,Port5_Vmag_V,Port5_Imag_A,Port5_Zmag_Ohm,Port6_Vmag_V,Port6_Imag_A,Port6_Zmag_Ohm,Port7_Vmag_V,Port7_Imag_A,Port7_Zmag_Ohm,Port8_Vmag_V,Port8_Imag_A,Port8_Zmag_Ohm
26,4.499712922938023e-06,3.7018387873915173e-10,12155.34544147106,1.3388168433158904e-06,1.1014222917495403e-10,12155.34544147698,6.036566510844492e-06,4.966182606582859e-10,12155.345441472085,1.4997275496890449e-06,1.2338008466398505e-10,12155.345441473984,2.6134052596704083e-06,2.1500049276707155e-10,12155.345441471774,4.425468832133745e-06,3.6407594119327546e-10,12155.345441473197,0.08048452531672953,6.621327687004728e-06,12155.345441472646,0.003964706453888334,3.26169788672568e-07,12155.345441476136
27,0.00023514359131594914,1.7227060245218628e-08,13649.664421485568,0.0002618338306876731,1.918243720888706e-08,13649.664421493204,0.000383160401861257,2.8071049223600253e-08,13649.664421489506,6.432797928013707e-05,4.712788336308874e-09,13649.664421491863,0.002820626989083976,2.0664442011064754e-07,13649.664421491148,0.004259286333187654,3.120433002354141e-07,13649.664421489999,0.00016223203396791084,1.188542289086719e-08,13649.664421496575,8.642383672517944e-05,6.331572268480189e-09,13649.664421492003
28,1.4616085662189629e-05,9.181034917816931e-10,15919.867196916235,1.748647663417089e-05,1.0984059362979952e-09,15919.867196918396,0.9816690098241824,6.16631406331256e-05,15919.867196917105,0.00013446629839312647,8.446445986635145e-09,15919.867196912546,9.749946910334856e-06,6.124389600576044e-10,15919.867196916737,1.9198902283486307e-05,1.2059712588058897e-09,15919.867196915111,1.4023562281869357e-06,8.808843760068141e-11,15919.867196919016,2.565098415407891e-05,1.6112561641878801e-09,15919.867196913254
29,1.4256447131514503e-05,8.867512766660209e-10,16077.165611889995,0.00024639221356472727,1.5325600265161258e-08,16077.165611896815,0.0010459852200683515,6.506030013739517e-08,16077.165611892762,7.4788585453914406e-06,4.6518514058595074e-10,16077.165611891673,0.002669187155943092,1.660234907308207e-07,16077.165611887613,0.2921836970621747,1.8173831390154275e-05,16077.165611895465,7.242654529471308e-06,4.504932464036857e-10,16077.16561189285,3.865443382865607e-06,2.404306502885971e-10,16077.165611895922
30,0.0005076166214745896,3.140502149173525e-08,16163.549565096693,0.1961413846425052,1.2134796497059427e-05,16163.549565090381,0.00010567164113614533,6.537650700458378e-09,16163.549565096268,3.744122319238328e-05,2.3163985757949863e-09,16163.549565097397,3.8318725004008985e-06,2.3706875058404494e-10,16163.549565097293,5.9162591055448095e-05,3.6602474485678907e-09,16163.549565097317,2.5501128350710707e-06,1.577693578257675e-10,16163.549565101775,3.3532391340887223e-05,2.0745685349516364e-09,16163.549565099787
31,5.107245923834494e-05,2.977409333639988e-09,17153.321399683748,9.817126980947215e-05,5.72316390056549e-09,17153.321399684555,7.244580681704311e-05,4.223427354330313e-09,17153.321399683566,0.0012163634408364219,7.09112487602006e-08,17153.32139968058,1.0273804298681558e-05,5.989396490216691e-10,17153.321399682227,3.35624380608318e-05,1.9566145400535412e-09,17153.321399683246,0.0008834145763559237,5.1501079923348393e-08,17153.32139968236,0.5479513689219506,3.194433055583154e-05,17153.321399684814
32,0.00018491853814441025,1.075551555080559e-08,17192.903238428196,0.00014461795865032884,8.41149145346829e-09,17192.90323842615,5.33429522563737e-05,3.1026145797855634e-09,17192.903238423023,0.6472225468134697,3.764475015290703e-05,17192.90323842113,5.036322915634203e-06,2.9293033560370447e-10,17192.903238426195,2.0154825849538532e-05,1.1722758844183992e-09,17192.903238419804,5.448208886331209e-06,3.168870789753777e-10,17192.90323842626,0.001707615867745294,9.932097238405564e-08,17192.903238424435
33,9.179202518030063e-05,5.332730046816726e-09,17212.951785379457,7.72253183797508e-05,4.486465734793495e-09,17212.95178537798,0.07953905491518393,4.62088408234268e-06,17212.95178537772,0.010062075865855185,5.845642276418952e-07,17212.951785375455,2.232618948027946e-06,1.297057573777108e-10,17212.951785373938,1.3099876824062138e-05,7.610476684884158e-10,17212.95178537366,3.8853541947695605e-06,2.2572271410586643e-10,17212.951785380745,0.0006466649495464748,3.7568509899373306e-08,17212.951785379755
34,0.0005003445531700436,2.874039462382545e-08,17409.105188669324,0.15035550020996388,8.63660128309381e-06,17409.10518866785,4.45049849873211e-05,2.5564200172843113e-09,17409.105188668807,0.00023690687463956924,1.3608216624121036e-08,17409.10518867282,9.121339626051757e-06,5.239407498087898e-10,17409.105188669815,1.710505462535528e-05,9.825349689128424e-10,17409.105188675087,3.8419066345560675e-06,2.2068375099807927e-10,17409.10518867112,2.8381499707356523e-05,1.6302675754880426e-09,17409.105188674403
35,0.3876306536456616,2.213232675908623e-05,17514.22965443628,0.0004598952074221745,2.625837484697766e-08,17514.229654433788,6.699508850604881e-05,3.825180429163918e-09,17514.229654440674,9.524213721263998e-05,5.437986088557254e-09,17514.229654439692,9.329199809675622e-06,5.326640105642064e-10,17514.22965443823,1.880700310968769e-05,1.0738127500184094e-09,17514.229654439532,2.843017416735973e-06,1.6232614695760503e-10,17514.229654440627,0.00017082419934287126,9.75345206231263e-09,17514.22965443553
