cell,layer,datatype,area_mm2,xmin_mm,ymin_mm,xmax_mm,ymax_mm,cx_mm,cy_mm,Qubit,distance_mm
TOP_main_1_Cheese_diff,1,101,0.0006250000000000088,-2.9125,0.1875,-2.8874999999999997,0.2125,-2.9,0.2,Q1,0.22360679774997902
TOP_main_1_Cheese_diff,1,101,0.0006250000000000088,-3.3125,0.1875,-3.2874999999999996,0.2125,-3.3,0.2,Q1,0.3605551275463988
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-2.6125,0.1875,-2.5875,0.2125,-2.5999999999999996,0.2,Q1,0.44721359549995826
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-3.4124999999999996,0.1875,-3.3874999999999997,0.2125,-3.3999999999999995,0.2,Q1,0.4472135954999575
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-3.0124999999999997,0.1875,-2.9875,0.2125,-3.0,0.2,Q1,0.2
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-2.7125,0.0875,-2.6875,0.11249999999999999,-2.7,0.09999999999999999,Q1,0.3162277660168378
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-3.0124999999999997,0.0875,-2.9875,0.11249999999999999,-3.0,0.09999999999999999,Q1,0.09999999999999999
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-3.4124999999999996,0.0875,-3.3874999999999997,0.11249999999999999,-3.3999999999999995,0.09999999999999999,Q1,0.41231056256176557
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-3.1125,0.0875,-3.0875,0.11249999999999999,-3.0999999999999996,0.09999999999999999,Q1,0.14142135623730925
TOP_main_1_Cheese_diff,1,101,0.0006250000000000088,-3.3125,0.0875,-3.2874999999999996,0.11249999999999999,-3.3,0.09999999999999999,Q1,0.3162277660168378
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-3.2125,0.0875,-3.1875,0.11249999999999999,-3.2,0.09999999999999999,Q1,0.22360679774997913
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-2.6125,0.0875,-2.5875,0.11249999999999999,-2.5999999999999996,0.09999999999999999,Q1,0.4123105625617664
TOP_main_1_Cheese_diff,1,101,0.0006250000000000088,-2.9125,0.0875,-2.8874999999999997,0.11249999999999999,-2.9,0.09999999999999999,Q1,0.14142135623730956
TOP_main_1_Cheese_diff,1,101,0.0006249999999999976,-2.8125,0.0875,-2.7875,0.11249999999999999,-2.8,0.09999999999999999,Q1,0.22360679774997913
TOP_main_1_Cheese_diff,1,101,0.0006250000000000088,-3.3125,-0.012499999999999999,-3.2874999999999996,0.012499999999999999,-3.3,0.0,Q1,0.2999999999999998
TOP_main_1_Cheese_diff,1,101,0.0006249999999999977,-2.8125,-0.012499999999999999,-2.7875,0.012499999999999999,-2.8,0.0,Q1,0.20000000000000018
TOP_main_1_Cheese_diff,1,101,0.0006249999999999977,-3.0124999999999997,-0.012499999999999999,-2.9875,0.012499999999999999,-3.0,0.0,Q1,0.0
TOP_main_1_Cheese_diff,1,101,0.0006249999999999977,-3.2125,-0.012499999999999999,-3.1875,0.012499999999999999,-3.2,0.0,Q1,0.20000000000000018
TOP_main_1_Cheese_diff,1,101,0.0006249999999999977,-3.4124999999999996,-0.012499999999999999,-3.3874999999999997,0.012499999999999999,-3.3999999999999995,0.0,Q1,0.39999999999999947
TOP_main_1_Cheese_diff,1,101,0.0006250000000000088,-2.9125,-0.012499999999999999,-2.8874999999999997,0.012499999999999999,-2.9,0.0,Q1,0.10000000000000009
