cell,layer,datatype,area_um2,bbox_xmin_um,bbox_ymin_um,bbox_xmax_um,bbox_ymax_um
TOP_main_1,1,11,0.003043762702500103,2.576446,0.266569,2.762031,1.00872
TOP_main_1,1,11,0.008260060335500044,2.762031,0.17685299999999998,2.939564,0.947056
TOP_main_1,1,11,0.008772849300499864,2.939564,0.206308,3.088723,1.00872
TOP_main_1,1,11,0.008775467600500133,3.088723,0.182824,3.23034,1.006426
TOP_main_1,1,11,0.011378959820000159,3.23034,0.17685299999999998,3.383639,1.230708
TOP_main_1,1,11,0.005881636265999988,3.383639,1.065,3.8049999999999997,1.27
TOP_main_1,1,11,0.004025466640999975,-3.8049999999999997,-2.435,-3.5764419999999997,-2.167377
TOP_main_1,1,11,0.005842329045999884,-3.5764419999999997,-2.1904619999999997,-3.4034489999999997,-1.7171779999999999
TOP_main_1,1,11,0.006404160532999946,-3.4034489999999997,-2.297241,-3.2433639999999997,-1.7373779999999999
TOP_main_1,1,11,0.006393493365000093,-3.2433639999999997,-2.294947,-3.08872,-1.719472
TOP_main_1,1,11,0.00640419046949995,-3.08872,-2.27704,-2.9286339999999997,-1.7171779999999999
TOP_main_1,1,11,0.006414702916500085,-2.9286339999999997,-2.297241,-2.755642,-1.766716
TOP_main_1,1,11,0.004423780128499915,-2.755642,-2.2242859999999998,-2.5663,-1.7171779999999999
TOP_main_1,1,11,0.004648597643999996,-2.5663,-2.297241,-2.376442,-1.7885579999999999
TOP_main_1,1,11,0.006414738325000057,-2.376442,-2.247703,-2.203449,-1.7171779999999999
TOP_main_1,1,11,0.0063863611260000725,-2.203449,-2.297241,-2.045104,-1.7373779999999999
TOP_main_1,1,11,0.006411293047499998,-2.045104,-2.295312,-1.88872,-1.719472
TOP_main_1,1,11,0.006594391974499982,-1.88872,-2.221737,-1.5713169999999999,-1.7171779999999999
TOP_main_1,1,11,0.006638160479499977,1.878263,-2.128683,2.1720889999999997,-1.59938
TOP_main_1,1,11,0.008188742558999889,2.1720889999999997,-2.365641,2.317462,-1.6033039999999998
TOP_main_1,1,11,0.008180495089000102,2.317462,-2.368537,2.469782,-1.6283509999999999
TOP_main_1,1,11,0.008260551816499977,2.469782,-2.308921,2.647738,-1.59938
TOP_main_1,1,11,0.00249781941449992,2.647738,-2.368537,2.835849,-1.700184
TOP_main_1,1,11,0.008201683446000132,2.835849,-2.312903,3.004213,-1.59938
TOP_main_1,1,11,0.008177424636499862,3.004213,-2.368537,3.152379,-1.618744
TOP_main_1,1,11,0.008199699058500093,3.152379,-2.368181,3.299604,-1.608326
TOP_main_1,1,11,0.0068910485250001,3.299604,-2.1975919999999998,3.457991,-1.59938
TOP_main_1,1,11,0.005158093245499933,3.457991,-2.435,3.8049999999999997,-2.178575
TOP_main_1,1,11,0.005883016285000001,-4.348396999999999,0.7799999999999999,-3.8016029999999996,0.847534
TOP_main_1,1,11,0.012608489555999775,-4.5,0.847534,-4.337629,2.005
TOP_main_1,1,11,0.0008834907599999906,-3.8123709999999997,0.847534,-3.795,0.9349999999999999
TOP_main_1,1,11,0.005883016284999996,3.8016029999999996,0.7799999999999999,4.348396999999999,0.847534
TOP_main_1,1,11,0.012608489555999738,4.337629,0.847534,4.5,2.005
TOP_main_1,1,11,0.0008834907599999907,3.795,0.847534,3.8123709999999997,0.9349999999999999
TOP_main_1,1,11,0.00588301628499992,-4.348396999999999,-2.7199999999999998,-3.8016029999999996,-2.652466
TOP_main_1,1,11,0.007608489555999915,-4.5,-2.652466,-4.337629,-1.9949999999999999
TOP_main_1,1,11,0.0008834907599999922,-3.8123709999999997,-2.652466,-3.795,-2.565
TOP_main_1,1,11,0.005883016284999916,3.8016029999999996,-2.7199999999999998,4.348396999999999,-2.652466
TOP_main_1,1,11,0.007608489555999882,4.337629,-2.652466,4.5,-1.9949999999999999
TOP_main_1,1,11,0.0008834907599999925,3.795,-2.652466,3.8123709999999997,-2.565
TOP_main_1,1,11,0.0013869855509999985,-0.541736,0.964517,-0.44665299999999997,1.059969
TOP_main_1,1,11,0.005594932074999997,-0.995,2.374108,-0.547129,2.9
